Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
sample51,Extracellular|Mitochondrion,,0.3075999915599823,0.35899999737739563,0.6237999796867371,0.21469999849796295,0.7117000222206116,0.018699999898672104,0.04800000041723251,0.0471000000834465,0.14190000295639038,0.3603000044822693
sample52,Extracellular,,0.4636000096797943,0.31859999895095825,0.8654000163078308,0.27549999952316284,0.5806000232696533,0.003700000001117587,0.018699999898672104,0.055399999022483826,0.1378999948501587,0.06610000133514404
sample53,Extracellular|Mitochondrion,,0.33250001072883606,0.335099995136261,0.7809000015258789,0.15230000019073486,0.7164000272750854,0.00989999994635582,0.022199999541044235,0.03500000014901161,0.07349999994039536,0.13289999961853027
sample54,Cytoplasm,,0.5306000113487244,0.4359000027179718,0.4903999865055084,0.3160000145435333,0.428600013256073,0.039500001817941666,0.004100000020116568,0.011900000274181366,0.03180000185966492,0.10830000042915344
sample55,Mitochondrion,,0.2506999969482422,0.26260000467300415,0.5859000086784363,0.11089999973773956,0.641700029373169,0.032499998807907104,0.0737999975681305,0.024800000712275505,0.03400000184774399,0.10689999908208847
sample56,Mitochondrion,,0.40149998664855957,0.42800000309944153,0.33239999413490295,0.04529999941587448,0.7379999756813049,0.02199999988079071,0.05739999935030937,0.027499999850988388,0.08389999717473984,0.07509999722242355
sample57,Mitochondrion,,0.34529998898506165,0.20509999990463257,0.4765999913215637,0.23080000281333923,0.7688000202178955,0.03350000083446503,0.0066999997943639755,0.031599998474121094,0.04729999974370003,0.08500000089406967
sample58,Mitochondrion,Mitochondrial transit peptide,0.36309999227523804,0.3018999993801117,0.3555000126361847,0.11299999803304672,0.9314000010490417,0.05460000038146973,0.01549999974668026,0.013100000098347664,0.008299999870359898,0.02800000086426735
sample59,Extracellular,,0.4668000042438507,0.4284999966621399,0.5679000020027161,0.40049999952316284,0.4235000014305115,0.09470000118017197,0.026200000196695328,0.017999999225139618,0.05979999899864197,0.17090000212192535
sample60,Mitochondrion,,0.3935000002384186,0.38600000739097595,0.3190999925136566,0.11060000211000443,0.6305000185966492,0.02370000071823597,0.022099999710917473,0.013500000350177288,0.016300000250339508,0.012400000356137753
